asleep_cnt,asleep_min,awake_cnt,awake_min,dateOfSleep,duration,efficiency,endTime,infoCode,logID,minutesAfterWakeup,minutesAsleep,minutesAwake,minutesToFallAsleep,restless_cnt,restless_min,startTime,timeInBed,type
0,380,0,0,2018-09-09,24480000,93,2018-09-09T06:42:00.000,0,19454971019,0,380,28,0,17,28,2018-09-08T23:53:30.000,408,classic
0,416,2,2,2018-09-08,25860000,97,2018-09-08T06:33:30.000,0,19445045219,0,416,15,0,9,13,2018-09-07T23:22:30.000,431,classic
0,352,1,2,2018-11-06,22320000,95,2018-11-06T04:45:30.000,0,20070096843,0,352,20,0,5,18,2018-11-05T22:33:00.000,372,classic
0,409,1,6,2018-11-04,26400000,93,2018-11-04T07:04:00.000,0,20050246210,0,409,31,0,11,25,2018-11-03T23:44:00.000,440,classic
0,133,3,5,2018-11-01,8820000,92,2018-11-01T15:33:30.000,0,20038783045,2,133,12,0,5,9,2018-11-01T13:06:00.000,147,classic
0,443,1,1,2018-11-01,27780000,96,2018-11-01T05:48:00.000,0,20018489111,1,443,19,0,8,19,2018-10-31T22:04:30.000,463,classic
0,444,2,4,2018-10-31,27420000,98,2018-10-31T05:57:00.000,0,20011674302,6,444,7,0,5,9,2018-10-30T22:20:00.000,457,classic
0,408,1,2,2018-10-30,24960000,98,2018-10-30T05:39:00.000,0,19998753673,0,408,8,0,4,6,2018-10-29T22:42:30.000,416,classic
0,422,0,0,2018-10-29,26340000,96,2018-10-29T06:17:30.000,0,19998751610,0,422,17,0,7,17,2018-10-28T22:58:00.000,439,classic
0,444,0,0,2018-10-28,27840000,96,2018-10-28T06:31:30.000,0,19998751609,0,444,20,0,9,20,2018-10-27T22:47:00.000,464,classic
0,454,0,0,2018-10-26,27780000,98,2018-10-26T07:23:00.000,0,19959571902,2,454,7,0,8,9,2018-10-25T23:39:30.000,463,classic
0,326,0,0,2018-10-25,20040000,98,2018-10-25T06:03:30.000,0,19944450228,0,326,8,0,6,8,2018-10-25T00:29:00.000,334,classic
0,424,0,0,2018-10-21,26460000,96,2018-10-21T08:49:30.000,0,19902263063,0,424,17,0,15,17,2018-10-21T01:28:30.000,441,classic
0,438,0,0,2018-10-20,27480000,96,2018-10-20T08:10:30.000,0,19902263062,1,438,19,0,14,20,2018-10-20T00:32:30.000,458,classic
0,399,1,5,2018-10-19,24540000,98,2018-10-19T07:28:30.000,0,19884157131,0,399,10,0,5,5,2018-10-19T00:39:00.000,409,classic
0,428,1,3,2018-10-16,26280000,98,2018-10-16T07:29:00.000,0,19849371031,0,428,10,0,7,7,2018-10-16T00:10:30.000,438,classic
0,415,2,2,2018-10-15,25980000,96,2018-10-15T06:46:00.000,0,19843182588,0,415,18,0,8,16,2018-10-14T23:32:30.000,433,classic
0,284,0,0,2018-10-14,18480000,92,2018-10-14T04:02:00.000,0,19828050976,0,284,24,0,10,24,2018-10-13T22:53:30.000,308,classic
0,508,0,0,2018-10-12,31920000,96,2018-10-12T06:32:00.000,0,19807801480,1,508,23,0,15,24,2018-10-11T21:40:00.000,532,classic
0,337,2,4,2018-10-09,21720000,93,2018-10-09T08:03:00.000,0,19774997795,0,337,25,0,12,21,2018-10-09T02:00:30.000,362,classic
0,347,1,2,2018-10-08,21780000,96,2018-10-08T05:51:00.000,0,19774997794,0,347,16,0,11,14,2018-10-07T23:48:00.000,363,classic
0,352,1,2,2018-11-06,22320000,95,2018-11-06T04:45:30.000,0,20070096843,0,352,20,0,5,18,2018-11-05T22:33:00.000,372,classic
0,409,1,6,2018-11-04,26400000,93,2018-11-04T07:04:00.000,0,20050246210,0,409,31,0,11,25,2018-11-03T23:44:00.000,440,classic
0,133,3,5,2018-11-01,8820000,92,2018-11-01T15:33:30.000,0,20038783045,2,133,12,0,5,9,2018-11-01T13:06:00.000,147,classic
0,443,1,1,2018-11-01,27780000,96,2018-11-01T05:48:00.000,0,20018489111,1,443,19,0,8,19,2018-10-31T22:04:30.000,463,classic
0,444,2,4,2018-10-31,27420000,98,2018-10-31T05:57:00.000,0,20011674302,6,444,7,0,5,9,2018-10-30T22:20:00.000,457,classic
0,408,1,2,2018-10-30,24960000,98,2018-10-30T05:39:00.000,0,19998753673,0,408,8,0,4,6,2018-10-29T22:42:30.000,416,classic
0,422,0,0,2018-10-29,26340000,96,2018-10-29T06:17:30.000,0,19998751610,0,422,17,0,7,17,2018-10-28T22:58:00.000,439,classic
0,444,0,0,2018-10-28,27840000,96,2018-10-28T06:31:30.000,0,19998751609,0,444,20,0,9,20,2018-10-27T22:47:00.000,464,classic
0,454,0,0,2018-10-26,27780000,98,2018-10-26T07:23:00.000,0,19959571902,2,454,7,0,8,9,2018-10-25T23:39:30.000,463,classic
0,326,0,0,2018-10-25,20040000,98,2018-10-25T06:03:30.000,0,19944450228,0,326,8,0,6,8,2018-10-25T00:29:00.000,334,classic
0,424,0,0,2018-10-21,26460000,96,2018-10-21T08:49:30.000,0,19902263063,0,424,17,0,15,17,2018-10-21T01:28:30.000,441,classic
0,438,0,0,2018-10-20,27480000,96,2018-10-20T08:10:30.000,0,19902263062,1,438,19,0,14,20,2018-10-20T00:32:30.000,458,classic
0,399,1,5,2018-10-19,24540000,98,2018-10-19T07:28:30.000,0,19884157131,0,399,10,0,5,5,2018-10-19T00:39:00.000,409,classic
0,428,1,3,2018-10-16,26280000,98,2018-10-16T07:29:00.000,0,19849371031,0,428,10,0,7,7,2018-10-16T00:10:30.000,438,classic
0,415,2,2,2018-10-15,25980000,96,2018-10-15T06:46:00.000,0,19843182588,0,415,18,0,8,16,2018-10-14T23:32:30.000,433,classic
0,284,0,0,2018-10-14,18480000,92,2018-10-14T04:02:00.000,0,19828050976,0,284,24,0,10,24,2018-10-13T22:53:30.000,308,classic
0,508,0,0,2018-10-12,31920000,96,2018-10-12T06:32:00.000,0,19807801480,1,508,23,0,15,24,2018-10-11T21:40:00.000,532,classic
0,337,2,4,2018-10-09,21720000,93,2018-10-09T08:03:00.000,0,19774997795,0,337,25,0,12,21,2018-10-09T02:00:30.000,362,classic
0,347,1,2,2018-10-08,21780000,96,2018-10-08T05:51:00.000,0,19774997794,0,347,16,0,11,14,2018-10-07T23:48:00.000,363,classic
0,56,0,0,2018-12-06,3660000,92,2018-12-06T08:09:00.000,0,20400874410,0,56,5,0,2,5,2018-12-06T07:08:00.000,61,classic
0,395,1,6,2018-12-06,25440000,95,2018-12-06T06:00:30.000,0,20400874409,10,395,19,0,11,23,2018-12-05T22:56:00.000,424,classic
0,396,0,0,2018-12-04,24240000,98,2018-12-04T05:30:30.000,0,20364241385,0,396,8,0,6,8,2018-12-03T22:46:00.000,404,classic
0,481,1,3,2018-12-02,29280000,99,2018-12-02T07:28:00.000,0,20364241384,0,481,7,0,3,4,2018-12-01T23:19:30.000,488,classic
0,411,1,1,2018-11-30,25560000,97,2018-11-30T07:29:30.000,0,20338261093,1,411,14,0,8,14,2018-11-30T00:23:00.000,426,classic
0,436,1,1,2018-11-29,27300000,96,2018-11-29T06:41:30.000,0,20315781028,2,436,17,0,8,18,2018-11-28T23:06:30.000,455,classic
0,434,0,0,2018-11-28,26460000,98,2018-11-28T06:49:30.000,0,20300264690,0,434,7,0,5,7,2018-11-27T23:28:30.000,441,classic
0,429,0,0,2018-11-27,26220000,98,2018-11-27T06:59:30.000,0,20289184017,0,429,8,0,5,8,2018-11-26T23:42:30.000,437,classic
0,79,1,2,2018-11-24,4920000,96,2018-11-24T12:39:00.000,0,20279518080,0,79,3,0,1,1,2018-11-24T11:16:30.000,82,classic
0,559,0,0,2018-11-22,35400000,95,2018-11-22T07:24:00.000,0,20279518079,0,559,31,0,20,31,2018-11-21T21:33:30.000,590,classic
0,373,2,4,2018-11-21,23520000,96,2018-11-21T07:17:30.000,0,20279518078,2,373,17,0,11,15,2018-11-21T00:45:30.000,392,classic
0,420,1,3,2018-11-16,26880000,94,2018-11-16T07:43:30.000,0,20177723333,0,420,28,0,19,25,2018-11-16T00:15:30.000,448,classic
0,363,0,0,2018-11-15,22800000,96,2018-11-15T06:02:30.000,0,20164849551,0,363,17,0,9,17,2018-11-14T23:42:00.000,380,classic
0,422,1,5,2018-11-14,26880000,94,2018-11-14T07:08:00.000,0,20156487316,0,422,26,0,12,21,2018-11-13T23:40:00.000,448,classic
0,426,0,0,2018-11-13,26340000,99,2018-11-13T06:03:30.000,0,20144243566,8,426,5,0,6,13,2018-11-12T22:44:30.000,439,classic
0,456,5,8,2018-11-11,29940000,91,2018-11-11T07:45:00.000,0,20123839128,0,456,43,0,18,35,2018-11-10T23:26:00.000,499,classic
0,320,0,0,2018-11-08,19740000,97,2018-11-08T06:01:00.000,0,20097808075,0,320,9,0,8,9,2018-11-08T00:31:30.000,329,classic
0,467,2,4,2018-11-07,29160000,96,2018-11-07T07:26:30.000,0,20083128052,0,467,19,0,9,15,2018-11-06T23:20:30.000,486,classic
0,352,1,2,2018-11-06,22320000,95,2018-11-06T04:45:30.000,0,20070096843,0,352,20,0,5,18,2018-11-05T22:33:00.000,372,classic
0,437,1,1,2019-01-02,27720000,95,2019-01-02T06:22:30.000,0,20677599833,1,437,24,0,11,24,2019-01-01T22:40:30.000,462,classic
0,419,0,0,2019-01-01,26760000,94,2019-01-01T07:58:00.000,0,20677599832,0,419,27,0,16,27,2019-01-01T00:32:00.000,446,classic
0,421,1,4,2018-12-31,27360000,94,2018-12-31T07:17:00.000,0,20655315963,8,421,27,0,18,31,2018-12-30T23:40:30.000,456,classic
0,379,0,0,2018-12-30,23700000,96,2018-12-30T05:05:30.000,0,20641719584,0,379,16,0,8,16,2018-12-29T22:30:00.000,395,classic
0,461,2,6,2018-12-24,29220000,95,2018-12-24T07:21:30.000,0,20639023163,0,461,26,0,13,20,2018-12-23T23:14:30.000,487,classic
0,488,1,1,2018-12-23,31980000,92,2018-12-23T07:50:30.000,0,20639023162,0,488,45,0,23,44,2018-12-22T22:57:30.000,533,classic
0,303,0,0,2018-12-20,18960000,96,2018-12-20T04:38:00.000,0,20534823053,2,303,11,0,9,13,2018-12-19T23:21:30.000,316,classic
0,488,2,2,2018-12-19,31080000,95,2018-12-19T06:07:30.000,0,20516988863,1,488,28,0,16,28,2018-12-18T21:29:00.000,518,classic
0,394,0,0,2018-12-16,24360000,97,2018-12-16T07:14:00.000,0,20516988862,0,394,12,0,8,12,2018-12-16T00:27:30.000,406,classic
0,85,1,2,2018-12-15,5220000,98,2018-12-15T16:27:30.000,0,20516988860,0,85,2,0,0,0,2018-12-15T15:00:30.000,87,classic
0,314,2,7,2018-12-15,21540000,88,2018-12-15T05:15:30.000,0,20479925208,2,314,43,0,18,38,2018-12-14T23:16:30.000,359,classic
0,409,3,5,2018-12-14,26220000,95,2018-12-14T08:14:30.000,0,20472375240,5,409,23,0,12,23,2018-12-14T00:57:30.000,437,classic
0,459,0,0,2018-12-13,28440000,97,2018-12-13T07:34:30.000,0,20462076661,0,459,15,0,11,15,2018-12-12T23:40:00.000,474,classic
0,404,1,2,2018-12-12,25680000,94,2018-12-12T08:09:30.000,0,20457692868,0,404,24,0,13,22,2018-12-12T01:01:00.000,428,classic
0,416,0,0,2018-12-11,25440000,98,2018-12-11T07:33:00.000,0,20457692867,0,416,8,0,8,8,2018-12-11T00:28:30.000,424,classic
0,337,9,9,2018-12-09,21420000,94,2018-12-09T22:41:30.000,0,20436628689,0,337,20,0,5,11,2018-12-09T16:44:00.000,357,classic
0,402,1,1,2018-12-07,25320000,96,2018-12-07T05:44:00.000,0,20400874411,5,402,15,0,10,19,2018-12-06T22:42:00.000,422,classic
0,56,0,0,2018-12-06,3660000,92,2018-12-06T08:09:00.000,0,20400874410,0,56,5,0,2,5,2018-12-06T07:08:00.000,61,classic
0,395,1,6,2018-12-06,25440000,95,2018-12-06T06:00:30.000,0,20400874409,10,395,19,0,11,23,2018-12-05T22:56:00.000,424,classic
