,dates,caffeine_mg,drink_counter
0,2019-01-10,263.5,2
1,2019-01-11,330.0,1
2,2019-01-12,395.0,2
3,2019-01-13,371.25,2
4,2019-01-14,247.5,1
5,2019-01-15,577.5,2
6,2019-01-16,453.75,2
7,2019-01-17,247.5,1
8,2019-01-18,247.5,3
9,2019-01-19,480.0,2
10,2019-01-20,330.0,1
11,2019-01-21,215.0,3
12,2019-01-22,428.5,3
13,2019-01-23,311.25,2
14,2019-01-24,146.25,1
15,2019-01-25,446.5,7
16,2019-01-26,60.0,2
17,2019-01-27,166.0,3
18,2019-01-28,307.5,2
19,2019-01-29,327.5,3
20,2019-01-30,495.0,2
21,2019-01-07,307.5,2
22,2019-01-08,346.0,2
23,2019-01-09,307.5,2
